NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=8.351s, table=0, n_packets=6334, n_bytes=3795128, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.6,nw_dst=10.1.2.2,nw_tos=224,tp_src=1004,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.496s, table=0, n_packets=9, n_bytes=4466, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:b5:73:9f:7b:d1,dl_dst=00:b6:78:9f:7b:d2,nw_src=10.1.2.2,nw_dst=10.1.1.2,nw_tos=192,icmp_type=3,icmp_code=3 actions=LOCAL
 cookie=0x0, duration=8.540s, table=0, n_packets=6287, n_bytes=3810369, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.2,nw_dst=10.1.2.2,nw_tos=224,tp_src=1002,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.383s, table=0, n_packets=6274, n_bytes=3798840, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.6,nw_dst=10.1.2.2,nw_tos=224,tp_src=1001,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.620s, table=0, n_packets=6442, n_bytes=3898986, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.6,nw_dst=10.1.2.2,nw_tos=224,tp_src=1000,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.428s, table=0, n_packets=6339, n_bytes=3812479, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.10,nw_dst=10.1.2.2,nw_tos=224,tp_src=1008,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.391s, table=0, n_packets=6357, n_bytes=3835630, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.5,nw_dst=10.1.2.2,nw_tos=224,tp_src=1008,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.429s, table=0, n_packets=6465, n_bytes=3930999, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.10,nw_dst=10.1.2.2,nw_tos=224,tp_src=1000,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.473s, table=0, n_packets=6263, n_bytes=3783531, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.11,nw_dst=10.1.2.2,nw_tos=224,tp_src=1002,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.429s, table=0, n_packets=6495, n_bytes=3900251, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.9,nw_dst=10.1.2.2,nw_tos=224,tp_src=1006,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.429s, table=0, n_packets=6496, n_bytes=3928351, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.5,nw_dst=10.1.2.2,nw_tos=224,tp_src=1001,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.412s, table=0, n_packets=6503, n_bytes=3934285, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.5,nw_dst=10.1.2.2,nw_tos=224,tp_src=1002,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.351s, table=0, n_packets=6363, n_bytes=3808632, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.6,nw_dst=10.1.2.2,nw_tos=224,tp_src=1005,tp_dst=80 actions=output:1
